්,6026300,7.376311407321218
ි,5928170,7.256198329910464
න,5533815,6.773499943664482
ව,4678347,5.726390047542771
ක,4057685,4.966687379124205
ා,3948400,4.832920359203341
ය,3867846,4.734320656383145
ම,3815078,4.669731571813587
ත,3679303,4.50354026349355
ු,3125405,3.825558062824415
ර,3119997,3.818938562950397
ස,2840821,3.4772215701935965
ද,2311133,2.8288728924442044
ප,2206738,2.7010913300647514
ල,2050642,2.510026712399316
ේ,1925197,2.356479530133015
ට,1794528,2.1965380676629658
ෙ,1790188,2.1912258210924707
හ,1758440,2.1523656358113477
ග,1521408,1.8622337397059157
ැ,1452088,1.7773846769716497
.,1267597,1.55156401290778
ී,1169468,1.4314521595169722
අ,1007785,1.233548942406985
බ,990126,1.2119339741608166
ණ,730198,0.8937769173461558
ො,695735,0.8515935179086053
ළ,588934,0.7208669635363846
β,563928,0.6902591207387352
එ,455276,0.5572669054443978
ජ,443978,0.5434379280818512
ඩ,443289,0.5425945783382864
ශ,428279,0.5242220389320352
ධ,386509,0.47309472574088857
ෝ,371159,0.454306019552617
ං,354373,0.4337596207202831
ඇ,316164,0.386991042560826
γ,300118,0.36735041848935984
ෂ,295315,0.3614714506833489
ූ,274381,0.33584781711036676
ඳ,257700,0.3154299403724803
ඉ,253497,0.3102853845347405
ආ,237327,0.2904929819898317
ඒ,214847,0.2629770135786041
ච,198632,0.2431295301360749
ඔ,189876,0.23241201147910387
භ,155924,0.1908540862345309
උ,154312,0.18888096607977561
ථ,134019,0.16404192929289652
ෑ,117147,0.14339026474511038
ඟ,115241,0.1410572827259022
ෘ,64360,0.07877792379655736
0,60842,0.07447182162259389
‍,60822,0.07444734122365151
ඹ,54526,0.06674091163659239
?,44246,0.05415798658021251
ඛ,40930,0.05009913643556701
1,36387,0.04453841381580691
e,31990,0.039156398108326135
ෞ,30934,0.03786383304416882
ෛ,27854,0.03409385160704333
a,26962,0.03300202581421348
2,26557,0.03250629773563042
ඕ,26060,0.031897959821912444
ඊ,25311,0.03098116888152056
5,23625,0.02891747125067849
i,22755,0.02785257389668525
ෆ,22718,0.027807285158641858
o,21305,0.026077744973363185
ඨ,20940,0.02563097769266487
3,20602,0.02521725895053876
n,20380,0.024945526522278418
ඡ,20047,0.024537927879887903
t,19483,0.023847580629712973
7,19239,0.02354891976261602
ඬ,19068,0.02333961235165873
r,18786,0.022994438726571264
ඥ,18277,0.02237141257348786
4,18013,0.022048271307448533
6,15394,0.01884256306594475
ඝ,15061,0.01843496442355423
9,14895,0.018231777112332533
l,14635,0.01791353192608168
8,14561,0.017822954449994897
s,14173,0.017348034710512855
ඵ,10060,0.012313640668013782
c,9274,0.011351560989578511
d,9190,0.011248743314020542
h,8351,0.010221790578387981
m,8006,0.009799503696632041
u,7861,0.009622020804299835
C,7776,0.009517979108794749
A,7436,0.009101812326774402
S,7369,0.009019802990317452
ඈ,6589,0.008065067431564892
I,6100,0.007466521677423864
g,5932,0.007260886326307928
p,5914,0.007238853967259792
T,5912,0.007236405927365555
%,5597,0.006850839644023175
y,5221,0.006390608143906557
ඤ,5073,0.006209453191732993
L,5010,0.006132339935064518
B,4773,0.005842247207597394
P,4743,0.005805526609183834
M,4725,0.005783494250135698
E,4430,0.005422408365735691
D,4250,0.005202084775254331
•,4144,0.005072338660859753
O,4072,0.004984209224667209
f,3760,0.004602315001166185
R,3661,0.004481137026401437
ඖ,3558,0.004355062971848215
‌,3482,0.004262037455867196
N,3455,0.004228988917294992
k,3452,0.004225316857453636
w,3277,0.004011113366707869
v,3067,0.0037540691778129493
H,3016,0.0036916441605098975
b,2998,0.0036696118014617612
F,2919,0.003572914225639387
G,2798,0.003424807812038028
ඌ,2763,0.003381967113888875
ඓ,2311,0.0028287100977912377
x,1999,0.0024468158742902138
V,1987,0.00243212763492479
ඍ,1921,0.002351342318414958
W,1823,0.0022313883635973284
U,1428,0.0017479004844854554
K,1251,0.0015312489538454514
J,1198,0.0014663758966481622
,1162,0.0014223111785518902
Y,894,0.0010942738327240876
ෲ,709,0.0008678301425071343
ඪ,665,0.000813973264833913
z,658,0.0008054051252040824
X,634,0.0007760286464732344
j,494,0.0006046658538766211
ඞ,446,0.0005459128964149251
Q,350,0.00042840698149153317
⁣,305,0.0003733260838711932
Z,296,0.0003623099043471252
ඃ,293,0.0003586378445057692
α,286,0.00035006970487593854
ෟ,280,0.00034272558519322655
ඣ,272,0.00033293342561627724
q,199,0.00024357996947661458
̃,181,0.0002215476104284786
½,168,0.00020563535111593593
●,126,0.00015422651333695195
‚,112,0.00013709023407729062
#,93,0.00011383385508203596
·,90,0.00011016179524067997
■,89,0.00010893777529356129
`,73,0.00008935345613966263
,61,0.00007466521677423865
°,52,0.00006364903725017064
,37,0.00004528873804339065
Ó,35,0.00004284069814915332
_,34,0.000041616678202034655
,33,0.000040392658254915984
×,33,0.000040392658254915984
|,30,0.000036720598413559984
▸,26,0.00003182451862508532
Ò,23,0.000028152458783729324
¼,20,0.000024480398942373324
,20,0.000024480398942373324
⬤,18,0.000022032359048135992
é,17,0.000020808339101017328
ʼ,17,0.000020808339101017328
ඏ,15,0.000018360299206779992
✦,14,0.000017136279259661328
—,14,0.000017136279259661328
▲,13,0.00001591225931254266
．,13,0.00001591225931254266
́,12,0.000014688239365423994
ඦ,12,0.000014688239365423994
®,10,0.000012240199471186662
¢,9,0.000011016179524067996
⚫,9,0.000011016179524067996
̈,9,0.000011016179524067996
,9,0.000011016179524067996
˜,8,0.00000979215957694933
٫,8,0.00000979215957694933
¾,7,0.000008568139629830664
